COD_ID;DIST;PAC_1;PAC_2;PAC_3;FAS_CON_P;FAS_CON_S;FAS_CON_T;SIT_ATIV;TIP_UNID;POS;ATRB_PER;TEN_LIN_SE;CAP_ELO;CAP_CHA;TAP;CONF;POSTO;POT_NOM;PER_FER;PER_TOT;DAT_CON;CTMT;UNI_TR_S;SUB;CONJ;MUN;BANC;TIP_TRAFO;MRT;DESCR;ARE_LOC;geometry;eu_dis_trs;dist_mar;main_r_dist;n_close_con;is_urb;closest_trd_i;closest_trd_dist;NODE;ENDNODE;g_degree;g_avg_ndeg;g_pagerank;dist_to_trs
7_1070659;46;629271;ET7_1070659;ET7_1070659;AB;AN;BN;AT;38;PD;1;0.23;05H;1;1.0;RA;PT;10.0;60.0;260.0;30/09/2010;4_SEITI_1;1_SEITI_1;SEITI;15601;2803005;0;MT;0; ;NU;POINT (630212.8460234561 8759512.463100702);-1;55831.908050198785;5524.262347581502;1;False;8612;432.46874925758794;62927;59542;1;4.0;5.419093265058395e-06;8871.0
14_1140613;46;247611;ET14_1140613;ET14_1140613;AB;AN;BN;AT;38;PD;1;0.44;05H;1;1.0;RA;PT;5.0;50.0;160.0;24/09/2010;2_SETMG_1;2_SETMG_1;SETMG;12743;2927002;0;MT;0; ;NU;POINT (623296.7460106115 8727718.753071785);-1;46960.84558535219;1274.2053756881278;0;False;6342;250.11650408973446;24761;19980;2;2.5;1.0912509376209831e-05;25035.60999999999
14_1140260;46;287971;ET14_1140260;ET14_1140260;AB;AN;BN;AT;38;PD;1;0.44;1H;1;1.0;RA;PT;15.0;85.0;355.0;20/12/2013;3_SETMG_1;2_SETMG_1;SETMG;12743;2927002;0;MT;0; ;NU;POINT (614662.5940306792 8732660.107064959);-1;56895.316363761136;744.3953613699196;30;False;6347;399.57139955037917;28797;30823;2;2.0;1.2098335269066976e-05;20703.48
6_1060438;46;319211;ET6_1060438;ET6_1060438;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;24/09/2010;3_SETMG_1;2_SETMG_1;SETMG;12743;2807501;0;MT;0; ;NU;POINT (625326.4359957669 8741502.031049654);-1;51358.74707010274;2248.6092939432137;4;False;6240;398.59634688736173;31921;30823;2;1.5;1.5655812947638404e-05;2471.729999999999
13_1130273;46;656021;ET13_1130273;ET13_1130273;AB;AN;BN;AT;38;PD;1;0.44;05H;1;1.0;RA;PT;5.0;50.0;160.0;05/10/2010;2_SECON_1;1_SECON_1;SECON;12730;2917904;0;MT;0; ;NU;POINT (641253.1739713039 8715235.351128019);-1;25305.860097308047;15182.353641639922;1;False;6777;621.8375684561914;65602;68430;1;2.0;7.284332050909795e-06;41658.07
13_1130281;46;652881;ET13_1130281;ET13_1130281;AB;AN;BN;AT;38;PD;1;0.44;1H;1;1.0;RA;PT;15.0;85.0;355.0;05/10/2010;2_SECON_1;1_SECON_1;SECON;12730;2917904;0;MT;0; ;NU;POINT (660596.0210440391 8700973.410043178);-1;1611.8371344786256;7999.731262007649;15;False;6383;204.70601144991574;65288;68430;1;2.0;6.9686831230911515e-06;38713.13
13_1130300;46;636341;ET13_1130300;ET13_1130300;AB;AN;BN;AT;38;PD;1;0.44;05H;1;1.0;RA;PT;5.0;50.0;160.0;05/10/2010;2_SECON_1;1_SECON_1;SECON;12730;2917904;0;MT;0; ;NU;POINT (661253.6340192648 8721659.203120837);-1;10344.528855075503;3233.6604075237624;4;False;6789;350.3845226402583;63634;68430;1;2.0;7.284332050909795e-06;20389.14999999999
7_1070890;46;607081;ET7_1070890;ET7_1070890;AB;AN;BN;AT;38;PD;1;0.23;05H;1;1.0;RA;PT;10.0;60.0;260.0;30/09/2010;4_SEITI_1;1_SEITI_1;SEITI;15601;2803005;0;MT;0; ;NU;POINT (630741.704970112 8756595.637102047);-1;53728.77859081922;2667.5094062339945;5;False;4560;356.0645443110124;60708;59542;2;2.0;1.2098335269066976e-05;7150.19
3_1030108;46;903881;ET3_1030108;0;ABC;ABCN;0;AT;38;PD;1;0.22;1H;1;1.0;RA;PT;30.0;170.0;740.0;24/09/2010;1_SETMG_1;2_SETMG_1;SETMG;12743;2801702;0;T;0; ;UB;POINT (634154.6660219086 8730269.578086045);-1;38416.61940929614;4.986610840172054;32;False;3618;87.1250254477882;90388;17749;1;2.0;7.284332050909795e-06;14809.38999999998
3_1030119;46;193791;ET3_1030119;ET3_1030119;AB;AN;BN;AT;38;PD;1;0.23;1H;1;1.0;RA;PT;15.0;85.0;355.0;24/09/2010;1_SETMG_1;2_SETMG_1;SETMG;12743;2801702;0;MT;0; ;NU;POINT (632556.4979840349 8733773.385057835);-1;41421.99942780245;714.5975317723743;3;False;6410;272.17073989850957;19379;17749;2;2.0;1.2098335269066976e-05;12123.989999999983
